iter	Passed	Remaining
592	2052	1408
593	2055	1404
594	2058	1401
595	2061	1397
596	2065	1393
597	2067	1390
598	2070	1386
599	2073	1382
600	2077	1379
601	2080	1375
602	2083	1371
603	2086	1367
604	2089	1364
605	2093	1360
606	2095	1356
607	2098	1353
608	2101	1349
609	2105	1345
610	2108	1342
611	2111	1338
612	2114	1334
613	2116	1330
614	2120	1327
615	2123	1323
616	2126	1320
617	2129	1316
618	2133	1313
619	2136	1309
620	2139	1306
621	2142	1302
622	2145	1298
623	2148	1294
624	2151	1291
625	2155	1287
626	2158	1283
627	2160	1279
628	2164	1276
629	2167	1273
630	2170	1269
631	2173	1265
632	2176	1261
633	2179	1258
634	2182	1254
635	2185	1250
636	2188	1247
637	2191	1243
638	2194	1239
639	2197	1236
640	2200	1232
641	2203	1228
642	2205	1224
643	2209	1221
644	2212	1217
645	2215	1214
646	2218	1210
647	2222	1207
648	2226	1203
649	2229	1200
650	2231	1196
651	2234	1192
652	2238	1189
653	2241	1185
654	2245	1182
655	2248	1178
656	2251	1175
657	2255	1172
658	2259	1168
659	2262	1165
660	2266	1162
661	2269	1158
662	2273	1155
663	2276	1151
664	2278	1148
665	2282	1144
666	2285	1140
667	2287	1137
668	2290	1133
669	2293	1129
670	2297	1126
671	2300	1122
672	2303	1119
673	2306	1115
674	2309	1112
675	2313	1108
676	2316	1105
677	2319	1101
678	2321	1097
679	2324	1093
680	2327	1090
681	2331	1086
682	2333	1083
683	2336	1079
684	2339	1075
685	2342	1072
686	2345	1068
687	2348	1065
688	2351	1061
689	2354	1057
690	2357	1054
691	2360	1050
692	2363	1046
693	2365	1043
694	2368	1039
695	2372	1036
696	2375	1032
697	2378	1029
698	2380	1025
699	2383	1021
700	2386	1018
701	2390	1014
702	2393	1011
703	2396	1007
704	2399	1003
705	2402	1000
706	2405	997
707	2408	993
708	2412	990
709	2415	986
710	2419	983
711	2422	979
712	2425	976
713	2428	972
714	2432	969
715	2435	965
716	2438	962
717	2440	958
718	2443	955
719	2447	951
720	2451	948
721	2454	945
722	2457	941
723	2460	938
724	2464	934
725	2466	931
726	2469	927
727	2472	923
728	2476	920
729	2479	917
730	2482	913
731	2484	909
732	2487	906
733	2491	902
734	2494	899
735	2497	895
736	2500	892
737	2504	889
738	2507	885
739	2510	882
740	2513	878
741	2515	874
742	2519	871
743	2522	868
744	2525	864
745	2528	860
746	2531	857
747	2534	853
748	2537	850
749	2540	846
750	2544	843
751	2548	840
752	2551	836
753	2554	833
754	2556	829
755	2559	826
756	2563	822
757	2567	819
758	2570	816
759	2573	812
760	2576	809
761	2579	805
762	2582	802
763	2585	798
764	2588	795
765	2590	791
766	2594	788
767	2597	784
768	2600	781
769	2603	777
770	2606	774
771	2610	770
772	2613	767
773	2615	763
774	2618	760
775	2621	756
776	2625	753
777	2628	750
778	2631	746
779	2635	743
780	2639	740
781	2643	736
782	2645	733
783	2648	729
784	2652	726
785	2655	722
786	2657	719
787	2660	715
788	2663	712
789	2666	708
790	2669	705
791	2672	701
792	2675	698
793	2677	694
794	2681	691
795	2684	687
796	2687	684
797	2690	681
798	2693	677
799	2697	674
800	2700	670
801	2703	667
802	2706	663
803	2709	660
804	2713	657
805	2716	653
806	2720	650
807	2723	647
808	2726	643
809	2730	640
810	2733	637
811	2736	633
812	2740	630
813	2743	626
814	2746	623
815	2749	620
816	2753	616
817	2756	613
818	2759	609
819	2762	606
820	2766	603
821	2770	600
822	2774	596
823	2778	593
824	2781	589
825	2785	586
826	2788	583
827	2791	579
828	2794	576
829	2797	572
830	2800	569
831	2803	566
832	2808	562
833	2811	559
834	2814	556
835	2818	552
836	2822	549
837	2825	546
838	2828	542
839	2831	539
840	2835	536
841	2838	532
842	2841	529
843	2844	525
844	2848	522
845	2853	519
846	2856	515
847	2859	512
848	2863	509
849	2866	505
850	2869	502
851	2871	498
852	2875	495
853	2879	492
854	2882	488
855	2886	485
856	2889	482
857	2893	478
858	2896	475
859	2898	471
860	2901	468
861	2905	465
862	2908	461
863	2911	458
864	2913	454
865	2916	451
866	2919	447
867	2922	444
868	2925	441
869	2928	437
870	2931	434
871	2936	431
872	2939	427
873	2942	424
874	2945	420
875	2949	417
876	2952	414
877	2954	410
878	2957	407
879	2960	403
880	2963	400
881	2966	396
882	2969	393
883	2973	390
884	2976	386
885	2980	383
886	2983	380
887	2985	376
888	2988	373
889	2992	369
890	2995	366
891	2998	363
892	3001	359
893	3004	356
894	3008	352
895	3012	349
896	3016	346
897	3021	343
898	3025	339
899	3028	336
900	3031	333
901	3034	329
902	3038	326
903	3041	322
904	3044	319
905	3046	316
906	3049	312
907	3053	309
908	3056	305
909	3059	302
910	3061	299
911	3064	295
912	3069	292
913	3072	289
914	3076	285
915	3079	282
916	3083	279
917	3086	275
918	3088	272
919	3091	268
920	3095	265
921	3098	262
922	3101	258
923	3103	255
924	3106	251
925	3109	248
926	3114	245
927	3119	242
928	3122	238
929	3125	235
930	3128	231
931	3132	228
932	3135	225
933	3138	221
934	3142	218
935	3145	215
936	3148	211
937	3151	208
938	3155	204
939	3158	201
940	3161	198
941	3164	194
942	3167	191
943	3171	188
944	3174	184
945	3177	181
946	3179	177
947	3183	174
948	3186	171
949	3189	167
950	3192	164
951	3194	161
952	3198	157
953	3201	154
954	3204	150
955	3207	147
956	3209	144
957	3213	140
958	3216	137
959	3219	134
960	3221	130
961	3224	127
962	3228	124
963	3231	120
964	3234	117
965	3236	113
966	3239	110
967	3243	107
968	3246	103
969	3250	100
970	3253	97
971	3257	93
972	3260	90
973	3263	87
974	3266	83
975	3268	80
976	3272	77
977	3275	73
978	3278	70
979	3281	66
980	3284	63
981	3287	60
982	3291	56
983	3294	53
984	3296	50
985	3299	46
986	3302	43
987	3305	40
988	3308	36
989	3311	33
990	3313	30
991	3317	26
992	3320	23
993	3323	20
994	3326	16
995	3330	13
996	3333	10
997	3337	6
998	3341	3
999	3344	0
